STATION,DATE,TMAX,TMIN,TOBS
GHCND:USR0000CFTC,20110516,183,6,-9999
GHCND:USR0000CFTC,20110517,211,50,-9999
GHCND:USR0000CFTC,20110518,128,50,-9999
GHCND:USR0000CFTC,20110519,139,33,-9999
GHCND:USR0000CFTC,20110520,161,22,-9999
GHCND:USR0000CFTC,20110521,206,67,-9999
GHCND:USR0000CFTC,20110522,222,100,-9999
GHCND:USR0000CFTC,20110523,228,89,-9999
GHCND:USR0000CFTC,20110524,117,78,-9999
GHCND:USR0000CFTC,20110525,183,50,-9999
GHCND:USR0000CFTC,20110526,222,67,-9999
GHCND:USR0000CFTC,20110527,217,89,-9999
GHCND:USR0000CFTC,20110528,211,72,-9999
GHCND:USR0000CFTC,20110529,278,100,-9999
GHCND:USR0000CFTC,20110530,206,100,-9999
GHCND:USR0000CFTC,20110531,256,78,-9999
GHCND:USR0000CFTC,20110601,294,122,-9999
GHCND:USR0000CFTC,20110602,283,128,-9999
GHCND:USR0000CFTC,20110603,283,139,-9999
GHCND:USR0000CFTC,20110604,272,122,-9999
GHCND:USR0000CFTC,20110605,311,150,-9999
GHCND:USR0000CFTC,20110606,311,150,-9999
GHCND:USR0000CFTC,20110607,294,156,-9999
GHCND:USR0000CFTC,20110608,261,139,-9999
GHCND:USR0000CFTC,20110609,261,106,-9999
GHCND:USR0000CFTC,20110610,233,106,-9999
GHCND:USR0000CFTC,20110611,283,100,-9999
GHCND:USR0000CFTC,20110612,306,83,-9999
GHCND:USR0000CFTC,20110613,294,161,-9999
GHCND:USR0000CFTC,20110614,256,122,-9999
GHCND:USR0000CFTC,20110615,311,133,-9999
GHCND:USR0000CFTC,20110616,311,150,-9999
GHCND:USR0000CFTC,20110617,250,106,-9999
GHCND:USR0000CFTC,20110618,267,117,-9999
GHCND:USR0000CFTC,20110619,289,89,-9999
GHCND:USR0000CFTC,20110620,200,72,-9999
GHCND:USR0000CFTC,20110621,239,100,-9999
GHCND:USR0000CFTC,20110622,278,139,-9999
GHCND:USR0000CFTC,20110623,306,144,-9999
GHCND:USR0000CFTC,20110624,322,156,-9999
GHCND:USR0000CFTC,20110625,306,156,-9999
GHCND:USR0000CFTC,20110626,344,161,-9999
GHCND:USR0000CFTC,20110627,244,122,-9999
GHCND:USR0000CFTC,20110628,322,117,-9999
GHCND:USR0000CFTC,20110629,350,183,-9999
GHCND:USR0000CFTC,20110630,317,156,-9999
GHCND:USR0000CFTC,20110701,300,161,-9999
GHCND:USR0000CFTC,20110702,294,156,-9999
GHCND:USR0000CFTC,20110703,322,128,-9999
GHCND:USR0000CFTC,20110704,344,194,-9999
GHCND:USR0000CFTC,20110705,333,178,-9999
GHCND:USR0000CFTC,20110706,267,161,-9999
GHCND:USR0000CFTC,20110707,256,139,-9999
